id,car_model,car_year,car_vin,color,price
776,626,1985,1G4HH5E98AU478110,Crimson,"€15508,42"
777,Prizm,1996,1N6AF0LX4FN911534,Fuscia,"€25802,85"
778,Murciélago LP640,2008,1FMCU0E72AK908214,Green,"€14399,44"
779,S-Class,2005,KMHD35LH4FU785997,Violet,"€38559,12"
780,Town Car,1989,WAUHF78PX8A920605,Purple,"€16034,29"
781,Yaris,2008,2C3CA4CG7BH692433,Khaki,"€25404,92"
782,Sedona,2008,JN8AZ2KR7AT063246,Aquamarine,"€38304,34"
783,Monterey,2005,SALAK2V60FA461265,Mauv,"€29511,89"
784,Escalade ESV,2006,1G6AZ5S36E0693598,Aquamarine,"€32403,20"
785,X-Type,2007,2C4RDGCG7FR325837,Violet,"€12478,01"
786,Ram 2500,2010,1N6BF0KM1FN592492,Blue,"€14693,03"
787,Eclipse,2009,1FTSX2B52AE023032,Turquoise,"€35114,80"
788,Z4 M,2009,1FMCU0C77BK832610,Indigo,"€21506,07"
789,Skyhawk,1984,1YVHZ8BH9B5942381,Teal,"€38505,50"
790,Daewoo Kalos,2006,WDCYC3HF4DX685728,Violet,"€22027,26"
791,Venza,2012,JM3KE2BE9F0047770,Teal,"€10147,31"
792,Grand Prix,1992,WBAKC6C57AC898541,Green,"€21493,45"
793,Sentra,1997,19XFA1E86AE340211,Fuscia,"€32907,71"
794,Tahoe,2000,2G4WD552X71774885,Pink,"€10047,88"
795,Firebird,1989,WBA3D3C56EF696049,Orange,"€11840,55"
796,Sonoma,1999,5GAKRBED3BJ910603,Fuscia,"€29230,47"
797,Cooper,2007,2C3CCAAG1DH450820,Teal,"€39884,85"
798,M,2011,SCBLF34FX5C780982,Turquoise,"€21390,77"
799,Panamera,2011,3C63D3CL8CG457770,Aquamarine,"€13292,23"
800,XC70,2007,WP0AB2A89FK365224,Blue,"€34057,38"
801,Cougar,1990,WAUBF78EX7A346204,Mauv,"€38256,61"
802,Corolla,2007,WBAEW53432P212057,Crimson,"€18553,99"
803,911,2009,JM1GJ1T59E1668793,Indigo,"€18004,21"
804,A6,1997,1N6AD0CU7AC189542,Turquoise,"€11003,76"
805,Interceptor,1966,1G6AA1RX9F0842791,Red,"€37378,26"
806,Pajero,2005,WA1UFAFL8DA998674,Mauv,"€26749,89"
807,Corvair,1960,WP0CA2A8XES208439,Violet,"€17746,54"
808,DB9,2010,1FTWX3A52AE006692,Goldenrod,"€38034,03"
809,Suburban 1500,1998,WAUVC68E22A005081,Puce,"€12706,55"
810,Sephia,2001,WBAUL7C59AV708418,Crimson,"€27247,64"
811,Sonata,1995,1G4HF57919U407135,Teal,"€37990,94"
812,Rio,2001,1G6AA5RX5F0102601,Khaki,"€27942,99"
813,S-Class,2007,1N4AL2AP1CN310710,Mauv,"€22372,47"
814,Ram 3500 Club,1995,W04GW5EV3B1082313,Indigo,"€22848,62"
815,430,1991,1VWAP7A32EC248206,Crimson,"€34095,71"
816,Grand Marquis,1997,3VW4S7AT6EM121131,Purple,"€32392,62"
817,Eldorado,1996,WA1DKAFP3BA433440,Pink,"€21482,82"
818,F250,1993,WAUEG78E16A978419,Maroon,"€29849,79"
819,FJ Cruiser,2011,1N6AD0CW1FN553564,Mauv,"€10070,30"
820,iQ,2012,1GTPCTEX8AZ506752,Violet,"€32680,83"
821,Camry,2005,19UUA66258A663033,Aquamarine,"€29322,83"
822,Galant,2011,WBAPH7C50BE494824,Aquamarine,"€13493,60"
823,Passat,1985,JN1BJ0HP0EM942267,Violet,"€21234,00"
824,8 Series,1993,KMHHT6KD5AU155114,Pink,"€39947,59"
825,57,2009,3C4PDDGG1ET837122,Khaki,"€32141,07"
826,MX-5,1991,1FMJK1H57CE223396,Fuscia,"€27639,59"
827,9-5,2009,JH4CW2H66EC874759,Mauv,"€33907,88"
828,Celica,1982,1N6AD0CU4CN469183,Aquamarine,"€27877,82"
829,Ram Van 3500,1998,1C4RDHEG4CC345051,Puce,"€12643,87"
830,LS,1997,WBAUT9C58AA012975,Khaki,"€39374,18"
831,Monte Carlo,2006,JA32X2HU9CU146030,Crimson,"€20665,76"
832,Rendezvous,2007,1G4PR5SK3C4844462,Mauv,"€28750,35"
833,TL,2010,WP0AA2A96AS680096,Orange,"€38923,10"
834,MPV,2004,5N1BA0NE7FN157784,Teal,"€23732,82"
835,STS,2005,1FMJK1J55AE196237,Goldenrod,"€15256,54"
836,Defender,1995,1C3CDZAB0EN493215,Puce,"€23079,93"
837,Sequoia,2002,3D73Y4HL1BG458386,Red,"€24795,29"
838,Frontier,2006,1N6AA0ED1FN766373,Orange,"€37368,51"
839,Cooper Clubman,2011,JN8AS5MT5FW938957,Maroon,"€27939,91"
840,Milan,2011,WAUVT68EX5A588004,Violet,"€21405,69"
841,Discovery,1999,JTDKN3DU2B0388344,Pink,"€29613,85"
842,Rabbit,2010,WBAKN9C53FD333183,Violet,"€10255,87"
843,Vibe,2008,TRUWX28N211962108,Puce,"€36241,36"
844,323,1993,WAUGGBFC0DN054492,Crimson,"€29971,14"
845,Exige,2006,WBANW1C52AC796877,Aquamarine,"€20731,53"
846,Grand Voyager,1993,WAULD64BX2N096254,Purple,"€25563,87"
847,New Yorker,1992,5N1AT2MK7FC343183,Violet,"€16694,85"
848,Familia,1986,WBA3G7C57EK364224,Khaki,"€28969,01"
849,DBS,2012,19UUB2F52FA330608,Violet,"€19947,19"
850,Leganza,2000,2C4RDGBG3ER991464,Orange,"€37865,89"
851,CR-V,2000,KMHTC6AD8CU446463,Khaki,"€23849,20"
852,Laser,1988,1C4RDHEG6CC707624,Red,"€18224,68"
853,Grand Am,1985,1G6DS1E34C0821906,Teal,"€27994,34"
854,Electra,1990,WBAYF8C55ED372566,Violet,"€32823,06"
855,Relay,2005,WAUTFAFH9DN400806,Green,"€18291,57"
856,Laser,1990,WAULC58E65A111894,Fuscia,"€25418,01"
857,Eclipse,1991,3VW8S7AT4FM931456,Aquamarine,"€12935,06"
858,Savana,2012,1N4AL2AP8CC751682,Green,"€18599,81"
859,Soul,2010,WVWED7AJ6CW771378,Aquamarine,"€11353,71"
860,Sprinter,2010,WAUFFBFL7DN684816,Yellow,"€39632,72"
861,Ascender,2006,5XYKT3A10DG367621,Green,"€36915,31"
862,E-Series,2011,JTHBK1GG0F2638112,Purple,"€14585,02"
863,Eldorado,2002,WP0CA2A80CS305081,Puce,"€34992,02"
864,TundraMax,2010,SCFEBBAK3EG637895,Turquoise,"€27654,30"
865,7 Series,2001,WAUML54D51N865552,Goldenrod,"€20398,28"
866,Wrangler,1999,WBAKG7C53DJ157281,Purple,"€33402,86"
867,S4,2007,2B3CA2CV2AH441768,Fuscia,"€32054,10"
868,Grand Prix,1996,WBASP4C5XBC601286,Goldenrod,"€33686,02"
869,Grand Prix,1987,WBA3B9C55DF795386,Turquoise,"€10138,11"
870,Corolla,2008,3FA6P0LU9ER331998,Red,"€30444,41"
871,Lancer Evolution,2004,WAUJC68E33A690627,Puce,"€32239,12"
872,Concorde,1998,WA1VMBFE2AD467031,Blue,"€30591,05"
873,Type 2,1991,1FTEX1EW2AK906996,Blue,"€27044,44"
874,Tucson,2006,3D7JB1EKXBG312474,Blue,"€37045,61"
875,Talon,1996,5UXWX7C5XF0065368,Fuscia,"€37949,34"
876,Century,2004,WAUJFAFH0EN176706,Green,"€23623,10"
877,VS Commodore,1996,SALGR2VF5FA916889,Fuscia,"€22956,53"
878,Continental Mark VII,1992,1GKS2FEJ1DR036079,Mauv,"€27624,21"
879,Eclipse,2007,5FRYD4H43FB931137,Orange,"€31697,89"
880,SRX,2009,KMHTC6AD1DU434818,Crimson,"€14874,72"
881,Xterra,2000,WUAAU34258N100232,Yellow,"€13922,03"
882,SC,1997,WBASN4C53BC730637,Orange,"€33271,49"
883,Sunbird,1994,5FPYK1F2XAB668149,Purple,"€17758,27"
884,Neon,1997,1FTEW1CM9DF451873,Pink,"€11298,06"
885,745,2003,1N4AL3AP1EC935001,Crimson,"€35270,27"
886,Town Car,1984,WBAUN7C53DV751974,Red,"€22963,38"
887,Range Rover,2003,1N6AA0CC0BN638856,Green,"€15266,96"
888,Town Car,1984,JA32U1FU6AU771374,Puce,"€36456,62"
889,I,1999,WBA3B1G56EN016564,Red,"€16274,64"
890,New Yorker,1996,1GYS3CEF7CR964474,Maroon,"€38456,66"
891,XL7,2009,JN8AZ1FY0CW746158,Fuscia,"€35168,57"
892,Savana 3500,1998,1GD02ZCG3BF178147,Puce,"€34130,91"
893,F150,1999,SAJWA4DC7AM422801,Aquamarine,"€25814,87"
894,Expedition EL,2007,JTHSE5BC4F5838671,Yellow,"€13674,82"
895,XT,1986,WVGEF9BP2ED339454,Teal,"€14451,31"
896,Fiero,1985,5NPDH4AE1BH297135,Puce,"€31628,71"
897,Tacoma,1998,1D7RV1GT5BS800286,Mauv,"€35109,49"
898,Altima,2013,1GYFK23239R442903,Mauv,"€10318,04"
899,Fiero,1985,3N1AB7AP7FL519841,Teal,"€13834,51"
900,Achieva,1997,3D7TT2CTXBG868498,Turquoise,"€15025,90"
901,Camry,1997,JHMGE8G36DC942829,Teal,"€18307,68"
902,Sephia,1997,2T2BK1BA0DC583918,Violet,"€28340,53"
903,Challenger,2004,JHMZE2H35DS448990,Violet,"€36389,89"
904,Cherokee,1996,2D4RN5D14AR432013,Turquoise,"€16494,57"
905,Relay,2006,5TFBY5F17DX476175,Maroon,"€30109,59"
906,LS,2004,JTMHY7AJ6A4726855,Crimson,"€19491,78"
907,626,1993,2T3BFREV3DW519173,Orange,"€32622,61"
908,Corvette,1985,WAUAT48HX5K089386,Goldenrod,"€12944,66"
909,Econoline E250,2001,1LNHL9EK2FG261960,Crimson,"€34321,00"
910,Freelander,2002,1FTWW3B54AE845535,Mauv,"€23865,56"
911,A6,2001,WBA3C1G54EN796562,Orange,"€29652,58"
912,Eclipse,1999,WBANU5C55AC012026,Turquoise,"€11536,19"
913,Mini Cooper,1961,3D7TP2CT2AG913985,Blue,"€38296,98"
914,Armada,2010,WBANE73576B840357,Green,"€29702,53"
915,Type 2,1985,WA1AV94L27D399859,Pink,"€30668,76"
916,Murciélago,2007,WBAPL5G58BN059482,Turquoise,"€32311,40"
917,MX-6,1997,JTDKN3DU1F0306755,Purple,"€36980,99"
918,Escort,2001,WUARL48HX8K064761,Blue,"€16296,12"
919,Express 2500,2003,1FMEU7FE9AU065941,Orange,"€28539,98"
920,Tiguan,2010,WBAEU334X5P903312,Indigo,"€16597,56"
921,MX-5,2000,WBSBL93412J478453,Khaki,"€33607,71"
922,XC70,2004,WBALM5C56BE069316,Khaki,"€18477,60"
923,Econoline E350,2000,JN8AZ2NCXC9187048,Puce,"€18454,61"
924,XT,1990,1G6DJ1E3XC0065324,Mauv,"€23261,05"
925,Venture,2000,1N4AL2AP3AC845448,Fuscia,"€26700,53"
926,9000,1998,JA32X8HWXEU973381,Turquoise,"€37856,06"
927,S-Type,2007,1C3BC5ED1AN942284,Orange,"€36927,98"
928,330,2006,1G6DS8ED1B0981872,Khaki,"€39268,33"
929,Touareg,2008,SCBLF34F82C806183,Violet,"€22858,74"
930,Rio,2013,1G6DA5EY8B0405569,Blue,"€29516,03"
931,Ram 2500,1996,WAUDK78T18A797686,Blue,"€29637,67"
932,Borrego,2009,1FTEW1CM2CK605880,Goldenrod,"€33820,29"
933,Montero Sport,2001,WAUBFAFL7BN854744,Turquoise,"€12010,57"
934,Focus,2005,3C3CFFFH9ET936810,Blue,"€15410,43"
935,F150,1995,YV1612FS3E1963563,Violet,"€17819,82"
936,Grand Prix,1985,WA1CGAFE6CD852197,Khaki,"€38119,99"
937,Avalon,1997,WBA3B5G54DN192860,Goldenrod,"€10094,07"
938,Range Rover,1988,WAUHGAFC9EN514166,Aquamarine,"€39537,84"
939,TT,2004,1G6KD57Y88U572639,Crimson,"€37749,19"
940,Sportage,2000,5GAKVCED2BJ219967,Violet,"€31808,43"
941,Spectra,2000,KL4CJDSB0EB844402,Red,"€31324,52"
942,Ram 2500,2008,SALAB2D48DA596474,Aquamarine,"€28536,17"
943,Transit Connect,2011,JN1CV6AP9BM102926,Mauv,"€23690,12"
944,Escalade,2003,JN8AS5MT7CW707733,Maroon,"€11633,22"
945,F250,1993,1C3CC5FB8AN019785,Purple,"€38862,72"
946,Pajero,2000,WAUJC58E83A755062,Pink,"€21415,33"
947,E-Class,1989,1GKS1EEF8DR701505,Fuscia,"€18397,78"
948,LR2,2008,2FMGK5D89FB177121,Yellow,"€12557,86"
949,V40,2001,2C4RDGCG9CR417396,Blue,"€35595,08"
950,F350,2010,WUAYU48H28K427059,Khaki,"€12822,83"
951,Virage,2011,JHMZF1D40ES449083,Yellow,"€35285,16"
952,RX Hybrid,2012,1G6AJ5SX7E0978384,Turquoise,"€37806,24"
953,V70,2009,2C3CDXCT6FH223409,Puce,"€17723,30"
954,Savana 1500,2000,WBADT63492C422521,Maroon,"€30230,38"
955,Bronco,1988,19XFB4F38EE670231,Khaki,"€14412,36"
956,Protege,1995,1D7RE5GK0AS539582,Turquoise,"€14993,53"
957,Prizm,2001,SCFAD22373K923386,Yellow,"€21293,76"
958,Blazer,2002,JH4KC1F95EC870603,Violet,"€18187,97"
959,Classic,1963,WDDPK4HA7EF006210,Crimson,"€30171,26"
960,Impala,2008,WAUKF98E75A221136,Yellow,"€22982,05"
961,Sunfire,1996,3GYEK63N22G642397,Aquamarine,"€20746,09"
962,Impala,2008,WAUHE78P59A181552,Violet,"€15121,82"
963,LS Hybrid,2011,WAUEG98E06A541460,Puce,"€10817,33"
964,968,1993,WBALW7C50CC599655,Mauv,"€31361,56"
965,GL-Class,2010,WBALW3C57DC470662,Blue,"€37850,83"
966,Camry,2009,5N1AZ2MHXFN983198,Teal,"€11400,13"
967,C-Class,2002,WBASP0C54DC982550,Purple,"€22487,49"
968,Raider,2009,WBA3N7C50FK976756,Purple,"€27442,95"
969,Q,2006,WAUEG74F36N677951,Aquamarine,"€36911,97"
970,S-Class,2000,WBA4B3C56FG570330,Blue,"€31972,21"
971,V70,2007,WBAEW53484P546927,Puce,"€12998,38"
972,Firebird Formula,1999,1FTEW1C86AF834457,Aquamarine,"€19808,03"
973,Legacy,2000,JN1AZ4EH2AM251695,Purple,"€37975,65"
974,VUE,2004,1FTWW3CY8AE886260,Pink,"€14273,35"
975,Prius,2009,WBSDE93442C993244,Khaki,"€39499,63"
976,Ciera,1995,1C4RDHAG0DC250915,Orange,"€36624,88"
977,RL,2005,WVWDB7AJ0EW741104,Blue,"€26229,96"
978,Fusion,2011,WAUJGAFC3DN168292,Maroon,"€14997,83"
979,Tundra,2007,1GD02ZCG4BZ218847,Yellow,"€31514,40"
980,Riviera,1993,SCBBB7ZH3BC680811,Indigo,"€35272,30"
981,Express,2007,WAUEV74FX7N982001,Khaki,"€18713,47"
982,Sprinter 3500,2011,WBAFU7C59DD507585,Teal,"€37879,89"
983,XC70,2010,5N1AA0ND5FN968177,Purple,"€14342,37"
984,MX-6,1990,WAUHE78P78A310437,Mauv,"€13500,92"
985,MR2,1992,JTHBB1BA1A2028179,Aquamarine,"€20474,21"
986,Grand Marquis,1987,WVGAV7AX4AW187120,Fuscia,"€35487,90"
987,Precis,1986,WA1UFAFL0EA205904,Pink,"€31359,58"
988,Rogue,2009,JTEBU5JR4B5364480,Mauv,"€10675,95"
989,Astro,1997,5J6TF1H51DL473261,Fuscia,"€38960,55"
990,CLS-Class,2009,1HGCR2E54DA978022,Violet,"€26949,53"
991,Acclaim,1995,KNAGM4AD7F5015339,Pink,"€37525,17"
992,Yukon XL,2006,5N1AR1NB1AC031487,Goldenrod,"€15829,05"
993,XT,1988,WDCGG0EB9DG555752,Fuscia,"€16698,16"
994,S4,1992,KNAGM4AD0D5991637,Purple,"€31931,57"
995,Z4,2012,5UMDU934X6L825507,Green,"€26958,70"
996,900,1996,SAJWA4DB7EL132867,Indigo,"€30460,50"
997,Ram Van 3500,1997,WBABW33446P616496,Red,"€16468,53"
998,Outlander,2012,WA1YD64B85N624977,Green,"€13754,10"
999,Corolla,1993,TRUWT28NX21101160,Turquoise,"€20480,60"
1000,Seville,2003,WBA3C1C54FP371564,Blue,"€23003,66"
